QUESTION,OPTION 1,OPTION 2,OPTION 3,OPTION 4,ANSWERS
 The TFOOT section of a table must appear before the TBODY section.,a.) FALSE,b.) TRUE,blank,blank, TRUE
 To match the root node in XMLT transform the syntax will be.,"a.) <xsl:template match=""Document"">","b.) <xsl:template match=""Root"">","c.) <xsl:template match=""RootNode"">","d.) <xsl:template match=""/"">"," <xsl:template match=""/"">"
 To match the specific XML elements child like of parent element is the syntax will be.,"a.) <xsl:template match=""PLANET_NAME"">","b.) <xsl:template match=""PLANET/NAME"">","c.) <xsl:template match=""/NAME"">","d.) <xsl:template match=""//"">"," <xsl:template match=""PLANET/NAME"">"
 Which of the following options is correct with regard to HTML?,a.) It is a modelling language,b.) It is a scripting language,c.) It is a partial programming language,d.) It is used to structure documents, It is used to structure documents
" Which CSS property can provide to add an effect when changing from one style to another,without using Flash animations or javascript?",a.) Associations,b.) Transitions,c.) Transistor,d.) None of the above, Transitions
 Which browser can supports the transition property?,a.) Internet Explorer 10,b.) Firefox,c.) Chrome,d.) All of the above, All of the above
 Which tag(s) can handle mouse events in Netscape?,a.) <IMG>,b.) <A>,c.) <BR>,d.) None of the above, <A>
  ____________ is the tainted property of a window object.,a.) Pathname,b.) Protocol,c.) Defaultstatus,d.) Host, Defaultstatus
" To enable data tainting, the end user sets the _________ environment variable.",a.) ENABLE_TAINT,b.) MS_ENABLE_TAINT,c.) NS_ENABLE_TAINT,d.) ENABLE_TAINT_NS, NS_ENABLE_TAINT
" In JavaScript, _________ is an object of the target language data type that encloses an object of the source language.",a.) a wrapper,b.) a link,c.) a cursor,d.) a form, a wrapper
" When a JavaScript object is sent to Java, the runtime engine creates a Java wrapper of type",a.) ScriptObject,b.) JSObject,c.) JavaObject,d.) Jobject, JSObject
 What is the preferred way for adding a background color in HTML?,"a.) <body background=""yellow"">",b.) <background>yellow</background>,"c.) < body style=""background-color:yellow"">","d.) <background color=""yellow"">text<background>"," < body style=""background-color:yellow"">"
 What is the correct HTML for creating a hyperlink?,"a.) <a name="""">A</a>",b.) <a>B</a>,"c.) <a href=""http://www.example.com"">example</a>","d.) <a url=""http://www.example.com"">example</a>"," <a href=""http://www.example.com"">example</a>"
 How can you create an e-mail link?,"a.) <mail href=""a@b"">",b.) <mail>a@b</mail>,"c.) <a href=""a@b"">","d.) <a href=""mailto:a@b.com"">"," <a href=""mailto:a@b.com"">"
 How can you open a link in a new browser window?,"a.) <a href=""url"" new>","b.) <a href=""url"" target=""new"">","c.) <a href=""url"" target=""_blank"">","d.) <a href=""url"" target="""">"," <a href=""url"" target=""_blank"">"
 Which of these tags are all &lt;table&gt; tags?,a.) <table><head><tfoot>,b.) <table><tr><td>,c.) <table><tr><tt>,d.) <thead><body><tr>, <table><tr><td>
 Which of the following JavaScript cannot do?,a.) JavaScript can react to events,b.) JavaScript can manipulate HTML elements,c.) JavaScript can be use to validate data,d.) All of the Above, All of the Above
 Whats so great about XML?,a.) Easy data exchange,b.) High speed on network,c.) Only B.is correct,d.) Both A & B, Both A & B
 Which is not a property of attribute Behaviour of &lt;Marquee&gt; tag?,a.) alternate,b.) blur,c.) scroll,d.) slide, blur
 _________ keyword is used to declare variables in javascript.,a.) Var,b.) Dim,c.) String,d.) None of the above, Var
 The attribute used to define a new namespace is.,a.) XMLNS,b.) XmlNameSpace,c.) Xmlns,d.) XmlNs, Xmlns
 Using _______ statement is how you test for a specific condition.,a.) Select,b.) If,c.) Switch,d.) For, If
 How to create a Date object in JavaScript?,a.) dateObjectName = new Date([parameters]),b.) dateObjectName.new Date([parameters]),c.) dateObjectName := new Date([parameters]),d.) dateObjectName Date([parameters]), dateObjectName = new Date([parameters])
 The _______ method of an Array object adds and/or removes elements from an array.,a.) Reverse,b.) Shift,c.) Slice,d.) Splice, Splice
" To set up the window to capture all Click events, we use which of the following statement?",a.) window.captureEvents(Event.CLICK);,b.) window.handleEvents (Event.CLICK);,c.) window.routeEvents(Event.CLICK );,d.) window.raiseEvents(Event.CLICK );, window.captureEvents(Event.CLICK);
 Who is making the Web standards?,a.) Mozilla,b.) Microsoft,c.) The World Wide Web Consortium,d.) NVDIA, The World Wide Web Consortium
 Choose the correct HTML tag for the largest heading,a.) <h6>,b.) <heading>,c.) <head>,d.) <h1>, <h1>
 What is the correct HTML tag for inserting a line break?,a.) <br />,b.) <break />,c.) <lb />,d.) <nbsp>, <br />
 Can a data cell contain images?,a.) yes,b.)no,blank,blank, yes
 How do I add scrolling text to my page?,a.) <scroll>,b.) <marquee>,c.) <ciruler>,d.) <tab>, <marquee>
" When you create a ""recipient"" hidden field for a form, which of the following is the ONLY correct way to type the word ""recipient?"":",a.) Recipient,b.) <recipient></recipient>,c.) recipient,d.) RECIPIENT, <recipient></recipient>
Which file controls how your frames will appear?,a.) Frameset,b.) Master Document,c.) Template,d.) Timeline, Frameset
 What can't layers do if you want to convert them to tables?,a.) Be close,b.) Contain a Color,c.) Be larger than the target table,d.) Overlap, Be larger than the target table
 Which HTML tag is used to define an internal style sheet?,a.) <script>,b.) <css>,c.) none of them,d.) <style>, <style>
 Which HTML attribute is used to define inline styles?,a.) font,b.) class,c.) styles,d.) style, styles
 Which is the correct CSS syntax?,a.) body:color=black,b.) {body;color:black},c.) {body:color=black(body},d.) body {color: black}, body {color: black}
 How do you change the text color of an element?,a.) text-color=,b.) text-color:,c.) color:,d.) fgcolor:, color:
 How do you display hyperlinks without an underline?,a.) a {text-decoration:none},b.) a {underline:none},c.) a {text-decoration:no underline},d.) a {decoration:no underline}, a {text-decoration:none}
 How do you change the font of an element?,a.) font=,b.) f:,c.) font-family:,d.) None of the above, font-family:
 How do you change the left margin of an element?,a.) text-indent:,b.) margin:,c.) margin-left:,d.) indent:, margin-left:
